2024-11-28 01:41:32 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2024-11-28 01:41:32 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2024-11-28 01:41:32 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2024-11-28 01:41:33 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2024-11-28 01:41:33 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2024-11-28 01:41:33 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2024-11-28 01:41:33 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1732738293865 with initial instances count: 0
2024-11-28 01:41:33 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application MENUSERVICE with eureka with status UP
2024-11-28 01:41:33 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1732738293877, current=UP, previous=STARTING]
2024-11-28 01:41:33 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2024-11-28 01:41:33 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MENUSERVICE/DESKTOP-T6DH32V:MenuService:8083: registering service...
2024-11-28 01:41:33 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8083 (http) with context path '/'
2024-11-28 01:41:33 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8083
2024-11-28 01:41:34 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MENUSERVICE/DESKTOP-T6DH32V:MenuService:8083 - registration status: 204
2024-11-28 01:41:34 [restartedMain] INFO  com.menu.MenuServiceApplication - Started MenuServiceApplication in 26.684 seconds (process running for 30.268)
2024-11-28 01:41:40 [http-nio-8083-exec-9] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-11-28 01:41:40 [http-nio-8083-exec-9] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-11-28 01:41:40 [http-nio-8083-exec-9] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2024-11-28 01:41:40 [http-nio-8083-exec-9] INFO  c.m.s.implementation.MenuServiceImpl - Fetching all menus with pagination: Page request [number: 0, size 10, sort: UNSORTED]
2024-11-28 01:41:40 [http-nio-8083-exec-9] WARN  o.s.d.w.c.SpringDataJacksonConfiguration$PageModule$WarningLoggingModifier - Serializing PageImpl instances as-is is not supported, meaning that there is no guarantee about the stability of the resulting JSON structure!
	For a stable JSON structure, please use Spring Data's PagedModel (globally via @EnableSpringDataWebSupport(pageSerializationMode = VIA_DTO))
	or Spring HATEOAS and Spring Data's PagedResourcesAssembler as documented in https://docs.spring.io/spring-data/commons/reference/repositories/core-extensions.html#core.web.pageables.

2024-11-28 01:41:53 [http-nio-8083-exec-8] INFO  com.menu.controllers.MenuController - Fetching menu with menuId: 14
2024-11-28 01:41:53 [http-nio-8083-exec-8] INFO  c.m.s.implementation.MenuServiceImpl - Fetching menu by id: 14
2024-11-28 01:41:53 [http-nio-8083-exec-8] INFO  c.m.s.implementation.MenuServiceImpl - Menu fetched successfully with menuId: 14
2024-11-28 01:41:53 [http-nio-8083-exec-8] INFO  com.menu.controllers.MenuController - Fetched menu: com.menu.dto.MenuResponse@565f33d5
2024-11-28 01:42:03 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2024-11-28 01:42:03 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2024-11-28 01:42:03 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2024-11-28 01:42:03 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2024-11-28 01:42:03 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2024-11-28 01:42:03 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: false
2024-11-28 01:42:03 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2024-11-28 01:42:04 [DiscoveryClient-CacheRefreshExecutor-%d] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2024-11-28 01:42:44 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application MENUSERVICE with eureka with status DOWN
2024-11-28 01:42:44 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1732738364275, current=DOWN, previous=UP]
2024-11-28 01:42:44 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MENUSERVICE/DESKTOP-T6DH32V:MenuService:8083: registering service...
2024-11-28 01:42:44 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MENUSERVICE/DESKTOP-T6DH32V:MenuService:8083 - registration status: 204
2024-11-28 01:42:44 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-28 01:42:44 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-11-28 01:42:44 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
